ID,VIN,DEVICE_ID,DATA_SOURCE,MANUFACTURER,MAKE,MODEL,MODEL_YEAR,TRIM,FLEET_UNIT_ID,ENROLLMENT_STATUS,LATEST_ENROLLMENT_TIMESTAMP,ORG_ID,ORG_NAME,LICENSE_PLATE,LICENSE_PLATE_STATE,CUSTOM_DATA
c5a789d2-1e6e-4275-9f97-b398667dd07a,7SAYGDEE0NF357958,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0081,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
14bcd060-80be-40aa-8df0-1528679af039,5YJYGAEE4MF187940,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,357C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
3f636ea7-0eae-403c-b6ca-fbd3d3e9a251,7SAYGAEE6NF358160,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0061,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
28d7dbbd-b30d-4e79-90ea-54a82076048d,7SAYGAEE4NF358478,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0056,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
c059fb70-cf27-49a4-a588-6bf53adcc8e6,5YJYGAEE3MF183300,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,358C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
93aa6323-0e2e-4e80-881b-50aa72a13fcd,7SAYGAEE9NF359013,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0069,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
37b9f0e1-b6e6-4423-9403-f2a9e38297d0,7SAYGAEE5NF359025,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0058,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
77e7424c-3c38-4138-ab0c-2aafed3c133b,7SAYGAEE8NF359052,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0066,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
964886a7-af52-44b0-b2f0-825099358e70,7SAYGAEE4NF359310,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0057,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
056a110d-10d5-45c9-85f9-c412a9dd8fc8,7SAYGDEE0NF359645,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0082,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
6ca70efc-4280-4f44-ae73-c9315cfb1af7,7SAYGAEE3NF359668,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0055,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
f337424c-11c9-4cdd-a7d9-e9483a384335,7SAYGAEE6NF359678,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0062,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
c1f9b43c-d55d-43d6-b69b-66579ff568f6,7SAYGAEE8NF359679,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0067,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
2a1ec7d3-bb33-4c05-8b36-c60d48c23f05,7SAYGDEE0NF359693,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0083,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
2d9979f3-0a6f-47c7-b92c-4c8a7eebd856,7SAYGDEE0NF359726,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0084,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
b33577bc-ecb0-4558-9ad6-d6da09787ee7,7SAYGDEE0NF359743,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0085,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
